"fw","t1","t2","S","n_species","n_basal","n_nut","masses","biomasses","period"
30,15,20,1,60,20,2,"2.6812;3.0511;4.0448;4.4241;5.3554;6.5076;6.8808;10.1322;20.0176;33.9387;96.8549;160.6537;199.2161;361.5821;372.2112;457.1091;553.1532;682.2572;884.9875;964.2184;114.6082;127.5405;135.533;142.86;223.3041;253.0611;268.1195;368.5453;397.9059;539.3325;641.8263;697.3561;1254.4924;1477.1145;1589.7817;1882.1397;2107.6201;2608.9087;2762.4658;3477.9772;3545.4515;4069.8748;4301.1687;4826.1506;5150.7726;5697.2124;6117.2985;6363.5593;8772.5672;8906.8187;18562.5831;32812.8148;43353.2067;46487.5826;47222.6727;49091.8419;62378.5156;67745.9683;82673.9467;95006.2341","2.512;2.3131;2.8931;2.5349;2.0748;2.1895;2.0709;2.7925;2.0858;2.7029;2.1164;2.5124;2.627;2.3483;2.5361;2.6737;2.5378;2.0236;2.6709;2.98;2.4345;2.3522;2.529;2.1682;2.2335;2.5761;2.351;2.4833;2.9013;2.7082;2.1359;2.6678;2.0589;2.2132;2.1136;2.3472;2.4482;2.4774;2.8627;2.7986;2.5446;2.6777;2.5241;2.7003;2.5792;2.7084;2.7638;2.8247;2.9281;2.1401;2.0027;2.0465;2.4038;2.9692;2.4738;2.7415;2.0606;2.8933;2.2925;2.4872;2.1656;2.3148","N;N;N;D;D;D;D;N;D;C;N;D;N;D;N;N;D;D;D;D;C;D;C;N;D;D;D;N;N;C;C;N;D;D;D;N;N;N;C;N"
31,15,20,1,60,20,2,"1.0562;1.2793;1.6997;2.1899;5.9124;16.0761;24.9089;27.0694;28.4188;31.3168;34.3462;43.0599;61.5275;68.9033;173.3947;437.3015;447.6056;476.7092;832.7305;884.9253;113.1257;158.0705;176.441;239.8323;311.6027;371.6395;407.6983;453.459;529.6395;556.8266;557.9603;565.344;711.9008;740.0383;766.8583;823.4617;1975.5823;3417.8999;3508.7744;3512.6564;3741.0225;4176.4764;4517.4093;5416.8027;6065.5203;8029.9754;10139.902;10877.4334;11739.1508;14661.3687;17513.501;19994.3613;20893.9082;22661.7855;34347.599;34532.12;34995.8916;35508.038;36063.096;74749.1206","2.7852;2.6322;2.6213;2.5762;2.1607;2.4002;2.2024;2.5058;2.6185;2.4551;2.9307;2.7982;2.9972;2.465;2.2311;2.2109;2.0827;2.5603;2.0325;2.4017;2.3195;2.2838;2.944;2.617;2.0973;2.5308;2.0221;2.9547;2.6102;2.2076;2.6673;2.7049;2.2743;2.2636;2.7329;2.9484;2.8451;2.8995;2.4712;2.5491;2.7288;2.6977;2.0649;2.5361;2.1836;2.9375;2.0705;2.8594;2.6809;2.1065;2.3603;2.9523;2.9039;2.6424;2.2315;2.5227;2.783;2.5005;2.2662;2.257;2.6264;2.4089","C;D;C;C;D;D;C;D;N;C;N;N;D;C;C;C;C;N;D;N;C;D;N;C;N;C;D;C;C;D;N;D;N;C;C;D;C;D;D;N"
32,15,20,1,60,20,2,"1.1943;1.2642;3.0068;3.6586;4.2304;5.3397;10.3172;13.6858;59.1416;86.8597;154.5027;183.7593;299.8509;307.8348;321.848;500.2807;525.8094;768.0584;827.8288;838.0242;104.7026;111.3642;180.4451;188.8713;202.7683;220.3204;264.6304;383.0613;386.2056;405.886;461.3675;466.0528;486.4326;880.5038;942.6445;1126.7304;1404.5412;1480.1909;1575.8545;1584.8613;1636.58;1694.5967;5035.6735;9170.0088;15520.205;18843.943;21763.0557;22201.0249;22443.5648;23119.0487;35490.4139;38884.6433;40932.1845;52572.1375;52605.8606;53358.959;58101.6034;59459.628;68914.6322;83468.6014","2.1407;2.6003;2.1916;2.3724;2.8797;2.7304;2.2087;2.481;2.2694;2.7903;2.1165;2.328;2.1502;2.7846;2.849;2.1592;2.6115;2.9615;2.9475;2.5316;2.9269;2.897;2.91;2.2538;2.4917;2.7315;2.978;2.7458;2.7598;2.4401;2.632;2.7096;2.767;2.6935;2.3549;2.4827;2.4013;2.7343;2.1285;2.3141;2.1637;2.3211;2.2315;2.0433;2.3219;2.6626;2.4963;2.0993;2.2227;2.9633;2.7758;2.031;2.7379;2.3116;2.9469;2.8052;2.908;2.4547;2.6943;2.2331;2.1279;2.5228","D;D;C;N;N;C;C;C;C;D;D;D;N;C;D;N;C;D;C;D;D;C;N;D;D;N;C;C;C;N;C;C;N;C;D;N;N;D;N;C"
33,15,20,1,60,20,2,"1.0129;2.5579;3.8866;7.2701;8.3186;14.8288;24.248;28.3487;28.4061;30.1398;33.0937;35.2863;40.2169;58.4599;70.1032;119.3166;221.8495;335.2423;665.5027;853.069;110.3054;112.2986;115.754;121.0663;175.8172;200.5639;202.747;205.1866;252.956;254.4421;350.563;410.1334;566.7297;870.2085;927.0653;1036.1115;1446.4236;1586.9894;1643.173;1682.0167;1891.3895;2520.7829;2571.9555;2580.0531;3512.7299;3923.8742;4083.7217;4157.6353;4197.4422;5662.66;6124.8978;9432.1678;10141.8519;17233.6568;18928.3286;19580.7667;36555.5817;46149.9815;48140.4997;82083.6326","2.0111;2.1873;2.9474;2.8062;2.0117;2.3478;2.2644;2.7248;2.1576;2.8803;2.2257;2.7969;2.2547;2.6291;2.1514;2.8491;2.4579;2.3079;2.7113;2.5966;2.7583;2.3546;2.3926;2.6535;2.7335;2.9755;2.9797;2.4243;2.0645;2.3383;2.7657;2.0697;2.1483;2.4367;2.3405;2.2977;2.3706;2.0824;2.088;2.0296;2.8925;2.0624;2.0792;2.2459;2.9001;2.9391;2.1138;2.5227;2.9928;2.5012;2.5869;2.0752;2.5397;2.829;2.798;2.0046;2.1246;2.8079;2.0258;2.0814;2.8669;2.7716","D;N;D;D;N;C;D;N;C;D;N;N;D;D;N;D;D;C;N;N;D;N;D;C;N;C;C;C;C;C;D;N;C;C;D;C;D;C;N;D"
34,15,20,1,60,20,2,"1.0059;1.2812;1.6818;2.1414;6.0536;6.3662;9.1599;9.1774;10.1778;12.5628;13.3759;20.4281;74.7204;122.6304;190.1956;218.41;280.3701;348.3317;624.2946;758.4731;110.1397;115.2483;143.3786;167.6145;178.2438;199.4359;201.2694;208.4631;334.1169;546.8271;665.6656;753.8328;820.8719;996.9592;1783.6772;2459.1154;2590.2273;5260.0034;5292.2761;6204.4441;6496.0165;8126.8567;8397.7834;8792.4508;9679.1701;11084.1358;11551.3069;12018.4826;13065.3298;14681.0906;16321.5381;22547.4044;23769.3579;33239.0123;43733.359;50007.1537;67417.0964;71185.3723;81791.2158;92719.9161","2.7535;2.4108;2.5027;2.2106;2.3462;2.0698;2.7208;2.0585;2.7407;2.6119;2.2176;2.7223;2.1041;2.5538;2.1091;2.7235;2.6388;2.9398;2.1032;2.2023;2.9829;2.1978;2.9722;2.358;2.9231;2.1539;2.9256;2.8881;2.9005;2.9504;2.825;2.3249;2.1234;2.5236;2.0216;2.1772;2.544;2.5719;2.7271;2.5857;2.4451;2.1016;2.0149;2.6443;2.0186;2.9035;2.0373;2.341;2.5743;2.2629;2.7825;2.9589;2.0271;2.4034;2.7756;2.4174;2.8929;2.9677;2.1117;2.7827;2.8664;2.855","N;C;D;C;D;D;D;C;N;D;C;D;D;N;N;D;N;C;C;N;N;D;D;N;D;D;C;C;C;N;C;D;N;D;D;N;N;C;D;N"
35,15,20,1,60,20,2,"1.2416;2.9192;10.8041;13.284;16.2414;16.8695;35.1069;54.6017;111.3997;161.4972;182.9232;215.0936;222.8087;284.9153;291.2551;434.9385;548.5863;579.3128;775.4049;848.7432;139.4227;149.0445;177.0999;187.717;265.4043;335.3272;347.4763;441.0669;461.7165;489.3881;509.9793;639.0431;711.0305;735.3294;813.5999;877.4148;969.963;996.3453;1210.0676;1270.2038;1822.3192;1844.9505;1966.7357;2111.4137;2190.4034;2479.5537;3340.8968;6247.5749;8116.9498;11128.9954;11820.7731;12390.4781;12742.6642;23818.6113;28738.3228;40169.1728;40293.5557;43283.5699;46559.3282;99884.6525","2.1137;2.8616;2.1016;2.2061;2.8278;2.4813;2.2129;2.4709;2.6478;2.3983;2.4506;2.0219;2.0154;2.6175;2.637;2.6137;2.1261;2.0402;2.2907;2.0292;2.2234;2.2405;2.4978;2.8374;2.9333;2.0627;2.7405;2.5519;2.7492;2.4404;2.6683;2.2437;2.1719;2.112;2.1183;2.989;2.4004;2.3721;2.0832;2.8174;2.5828;2.8087;2.6119;2.2558;2.9514;2.9567;2.6722;2.4537;2.1778;2.8926;2.1552;2.6496;2.4009;2.0655;2.8299;2.3757;2.7386;2.2754;2.7087;2.5503;2.0946;2.8749","D;D;D;C;C;C;D;C;D;C;N;D;N;C;D;C;D;D;N;C;D;C;N;N;N;D;D;C;D;N;D;C;N;D;D;C;D;N;N;N"
36,15,20,1,60,20,2,"1.0131;1.5277;1.6067;6.3733;7.1022;79.6896;98.0418;128.4646;210.67;218.6475;273.7237;391.9218;406.6754;434.7467;578.0339;707.8445;761.9824;846.546;850.1434;957.5208;102.5025;125.457;134.4906;136.886;152.7277;171.5702;178.1761;205.621;255.7906;263.8629;279.0008;307.4107;365.5963;444.7515;510.9267;849.712;915.1266;1574.6762;1646.9986;1793.1735;2459.707;2506.1334;5924.0864;7025.2386;11528.2715;11937.0988;12581.0286;12775.0918;13133.3978;14432.5263;14515.6246;20790.8571;22914.1707;25293.1678;35335.5527;44805.3465;51395.4582;56664.353;89647.9189;96154.3759","2.3914;2.3735;2.05;2.0534;2.2273;2.5695;2.6462;2.5945;2.4325;2.1945;2.0795;2.2386;2.3883;2.6374;2.2044;2.5483;2.6233;2.8943;2.1588;2.3691;2.7714;2.5774;2.5256;2.4161;2.059;2.2964;2.8235;2.5177;2.9525;2.1321;2.6644;2.0642;2.5323;2.6578;2.1931;2.0891;2.2191;2.8978;2.5159;2.1597;2.6387;2.4908;2.7166;2.6345;2.0254;2.8932;2.9961;2.0251;2.9792;2.3539;2.2487;2.5208;2.4992;2.0471;2.2396;2.8708;2.199;2.6928;2.943;2.7933;2.7556;2.5619","N;D;C;C;N;C;C;C;C;C;C;D;C;D;N;D;C;D;N;C;C;N;N;C;D;C;C;N;N;N;C;N;N;N;D;N;N;C;D;D"
37,15,20,1,60,20,2,"1.1793;2.5865;5.2749;6.8189;14.7952;17.2336;21.3144;21.6664;25.0169;36.7009;50.3119;62.9407;71.1219;90.8717;162.0371;167.1476;216.9153;486.1818;628.0854;799.1066;100.535;101.2571;112.5925;122.9545;131.1714;133.9626;143.5412;147.9979;150.7925;152.2281;177.2388;181.4281;204.4333;236.2408;366.041;915.5938;926.8878;965.3976;1030.1986;1668.2058;2066.5243;2294.2203;2550.0331;5229.6864;6197.0383;6286.656;7045.0251;7128.605;8689.7173;10279.5967;13130.542;25968.5107;27606.8894;30965.8823;31497.6125;46760.1328;71356.4893;77381.1313;95154.2156;98991.8602","2.8472;2.2953;2.7202;2.334;2.5136;2.5887;2.02;2.1978;2.6917;2.822;2.8797;2.5459;2.0549;2.8491;2.7691;2.112;2.276;2.674;2.8138;2.5947;2.2734;2.8412;2.3248;2.3726;2.4168;2.1619;2.3524;2.5971;2.8563;2.8881;2.9298;2.0352;2.7147;2.9119;2.3049;2.1185;2.3991;2.958;2.8591;2.3654;2.9531;2.0769;2.4949;2.6502;2.7267;2.4401;2.3885;2.9561;2.9232;2.8122;2.9702;2.603;2.1536;2.5054;2.7098;2.3108;2.4171;2.3373;2.8229;2.3648;2.7834;2.4192","N;N;C;D;N;C;N;C;N;D;D;D;N;N;D;N;D;D;C;C;N;D;C;C;C;C;C;N;D;D;N;D;D;D;N;D;D;N;C;N"
38,15,20,1,60,20,2,"2.0672;2.098;3.7631;4.1751;4.4143;7.049;21.5365;22.8126;24.4411;28.8105;35.3659;73.0058;84.9255;94.057;148.4876;174.8578;253.3349;398.6007;462.5746;948.3174;102.0947;118.4247;126.8492;133.098;160.2195;169.4579;174.1237;182.8539;202.0965;246.4177;249.5881;278.5031;278.7423;368.0284;399.344;452.5993;453.2169;647.1282;672.2955;1224.2926;1543.1422;1609.9502;1626.8751;1744.41;1919.0893;2792.3729;3714.8877;3973.1672;4527.0301;5098.919;6401.1835;7950.8535;13211.6324;14154.9998;19324.3068;22357.5009;30557.7836;32330.4276;43036.1892;52206.4633","2.1546;2.2232;2.6131;2.9524;2.9865;2.0448;2.7337;2.5436;2.0272;2.2633;2.2434;2.9407;2.0554;2.6038;2.7205;2.357;2.7842;2.5338;2.7637;2.505;2.7037;2.6095;2.2436;2.3825;2.4566;2.5373;2.307;2.3796;2.302;2.9022;2.0138;2.5937;2.0733;2.4936;2.4658;2.5963;2.0155;2.1567;2.651;2.0156;2.3895;2.992;2.455;2.2919;2.1537;2.9751;2.5841;2.5513;2.1735;2.2009;2.0683;2.3995;2.0442;2.205;2.2345;2.1509;2.016;2.2433;2.7146;2.0879;2.407;2.3356","C;D;C;N;C;C;D;C;N;D;D;D;D;C;N;N;D;D;D;N;D;N;D;C;C;C;D;D;N;D;N;N;N;N;D;N;D;C;D;C"
39,15,20,1,60,20,2,"1.0904;1.6652;1.7004;3.5003;4.3699;5.4475;6.9514;7.4932;10.9089;21.58;130.7306;171.3495;339.6725;442.3188;580.2459;770.1678;772.8567;899.5313;973.1813;988.4997;105.2061;123.0054;124.5042;205.1266;248.2353;330.3363;358.7376;472.5176;507.7451;576.8657;630.0232;808.4245;1008.924;1072.6754;1967.4928;2121.5953;2286.0766;2533.2692;2651.5848;3209.7144;3982.4001;4058.2779;5240.3019;6466.1936;6811.3862;7480.9306;8292.6944;11148.068;15524.001;27783.0684;34554.4803;36616.1229;38610.3588;40655.4197;43931.0071;55650.0602;66927.6827;72964.2188;78663.9061;95827.7587","2.2827;2.1408;2.8027;2.9962;2.6812;2.2892;2.9792;2.424;2.761;2.3231;2.1387;2.0132;2.1823;2.7235;2.0108;2.073;2.8809;2.2207;2.7482;2.6028;2.8746;2.4145;2.0055;2.4181;2.1561;2.101;2.9765;2.8389;2.6792;2.8882;2.4698;2.9758;2.6566;2.2826;2.8931;2.9266;2.2571;2.0418;2.0099;2.5491;2.209;2.5704;2.357;2.6703;2.9242;2.6538;2.3171;2.2145;2.7339;2.749;2.0919;2.3384;2.7551;2.4917;2.9536;2.064;2.7565;2.8011;2.2603;2.4965;2.0294;2.4078","D;N;N;N;N;C;D;N;D;N;N;N;D;D;D;D;C;D;N;D;N;C;D;D;C;D;N;C;N;C;C;C;N;C;D;D;N;D;C;C"
40,15,20,1,60,20,2,"2.3266;3.2491;3.626;5.1493;5.504;7.7253;9.5849;11.4775;21.7137;46.4568;56.6859;71.9133;79.8643;81.1983;160.6379;287.333;327.53;598.8015;692.7289;705.9727;126.2532;172.1989;194.6839;231.1543;276.1039;313.727;334.5252;383.3212;394.104;437.2926;556.7988;637.9935;640.1371;644.9825;677.545;687.4565;867.4641;1182.8612;1439.3951;1579.6679;2107.9723;2920.6054;3202.3691;3428.9347;4533.973;5862.7243;7446.636;7550.7065;14468.6349;17592.0182;19162.0471;27146.7078;31685.0319;62293.5603;62697.4498;66301.5396;68203.9308;68498.0362;74152.5638;83757.3312","2.2892;2.371;2.1855;2.287;2.5923;2.6258;2.4599;2.1969;2.0058;2.2561;2.6501;2.2177;2.0361;2.3274;2.375;2.0157;2.6783;2.779;2.5951;2.9247;2.2907;2.8359;2.8379;2.423;2.6194;2.888;2.867;2.0177;2.0714;2.8737;2.0731;2.6323;2.5578;2.8641;2.9508;2.6682;2.1201;2.2945;2.6892;2.8869;2.5333;2.6619;2.2753;2.0752;2.1945;2.6233;2.9779;2.9193;2.5646;2.6091;2.9314;2.8062;2.3386;2.0119;2.9308;2.0449;2.1709;2.7241;2.0563;2.683;2.709;2.4123","N;N;N;N;N;N;C;C;N;D;D;D;C;C;N;C;C;D;D;D;C;C;C;C;D;C;D;N;D;D;C;C;D;C;N;N;D;D;C;D"
41,15,20,1,60,20,2,"1.0176;1.4895;3.9536;5.5931;5.6671;6.8689;12.203;18.5662;32.393;56.2674;83.1504;118.8878;137.3695;155.0093;183.6525;210.7155;334.9465;526.082;895.1341;993.4562;108.3615;136.9344;137.0377;148.7091;151.0802;208.7758;221.4236;331.4618;448.4601;613.47;1186.5494;1191.5691;1547.1306;1575.3257;2317.5693;2342.1684;2375.8942;3265.7659;3697.3429;3832.6871;3977.1126;6188.4797;6500.5426;6694.9084;7223.4657;7474.9247;8046.8089;8109.3457;11375.271;11902.4095;13368.1559;19616.9581;22435.2215;23633.6325;26065.8795;35321.6594;42198.943;42370.256;51509.2213;52201.4588","2.0985;2.9301;2.2986;2.217;2.889;2.8751;2.5251;2.6873;2.8816;2.4784;2.8742;2.5664;2.3548;2.7123;2.4699;2.1999;2.1665;2.9279;2.6314;2.8791;2.8489;2.8553;2.4625;2.8626;2.782;2.9668;2.1955;2.5663;2.6139;2.4193;2.5567;2.0019;2.9787;2.5625;2.9995;2.911;2.747;2.2472;2.075;2.8557;2.7475;2.415;2.0407;2.7835;2.8567;2.3083;2.4788;2.4137;2.2904;2.3414;2.8573;2.3122;2.2713;2.1386;2.4472;2.1334;2.9357;2.8263;2.9054;2.537;2.6292;2.2175","C;C;N;D;N;D;C;C;N;C;C;D;D;D;N;D;D;N;N;C;D;D;N;N;N;N;C;N;C;N;C;N;D;N;N;C;C;D;C;C"
42,15,20,1,60,20,2,"1.0436;1.5999;1.7475;3.8112;6.9032;14.3218;16.2747;24.2904;25.2342;26.0226;26.993;51.7076;62.8427;102.7412;110.6136;176.2421;231.4442;271.9913;355.2338;394.8102;102.9525;121.9111;126.4319;139.8533;145.9491;146.5483;147.6999;150.5453;166.909;178.2679;254.6522;319.9037;329.0248;363.5551;477.8822;575.684;626.3236;694.6707;914.638;1137.6255;1204.5749;1419.5418;1437.012;1732.5446;2142.1378;2153.7029;2661.059;3859.6483;10745.8182;11696.1341;17109.7992;24939.3516;35747.9654;36036.9591;38733.0896;43555.3356;50866.5378;79309.1174;88788.3506;91382.2213","2.6389;2.7998;2.1693;2.8552;2.979;2.9776;2.135;2.7523;2.4027;2.7652;2.1231;2.2126;2.9055;2.4854;2.729;2.2283;2.7821;2.2295;2.0636;2.7468;2.6457;2.7704;2.9721;2.1348;2.9652;2.8008;2.749;2.839;2.2191;2.3739;2.501;2.7461;2.3509;2.7986;2.159;2.2639;2.2363;2.8372;2.112;2.8409;2.8599;2.534;2.2366;2.7015;2.7475;2.2658;2.9529;2.9098;2.5288;2.2646;2.329;2.2689;2.8697;2.866;2.6422;2.4581;2.7517;2.9759;2.9772;2.0662;2.6956;2.2126","N;N;C;D;N;D;N;D;D;D;D;D;N;C;C;C;N;N;D;D;N;D;N;N;C;C;N;N;C;D;D;C;D;C;N;C;N;N;D;N"
43,15,20,1,60,20,2,"1.1072;2.5232;2.6151;2.6206;3.0467;5.7962;11.4007;16.7704;16.8028;17.0623;21.1969;99.8301;322.6502;350.1401;462.6149;480.5541;553.3056;625.1524;656.8269;778.4875;158.1271;165.8063;204.2993;323.5055;382.392;399.7512;502.4664;692.2293;750.7015;908.166;919.5179;1227.7788;1676.3763;1802.9946;3209.5859;3277.4919;3512.4738;3584.0332;4287.1493;8265.1514;10355.632;10440.9563;11145.5111;11442.6425;13086.2382;13759.4473;15966.5978;16944.8112;18043.3024;18558.1599;23220.9193;25565.1993;29829.9241;38373.7902;39560.6052;43801.2882;53754.7178;59706.9157;66582.0821;84963.9013","2.0123;2.7202;2.4323;2.5277;2.547;2.7091;2.8721;2.2235;2.5681;2.1056;2.3398;2.5419;2.0452;2.0078;2.3188;2.2276;2.0982;2.799;2.2386;2.8411;2.1918;2.8791;2.6331;2.2953;2.8128;2.7236;2.067;2.6654;2.7461;2.5079;2.367;2.4174;2.9351;2.5276;2.3202;2.156;2.2348;2.1546;2.9923;2.9964;2.3285;2.5237;2.7263;2.5819;2.1189;2.1495;2.3349;2.5585;2.5364;2.9339;2.7647;2.0386;2.7028;2.0411;2.8438;2.8799;2.5155;2.6294;2.2908;2.6312;2.0211;2.6789","N;C;D;D;D;D;N;N;C;D;C;C;C;C;C;N;C;D;C;D;N;D;C;D;D;D;C;C;D;C;C;C;C;N;D;N;C;N;D;N"
44,15,20,1,60,20,2,"1.1932;1.2684;6.7301;8.8983;10.2964;11.99;12.1865;13.0309;16.6282;26.6203;29.4621;32.3606;35.9653;48.3337;81.557;107.8646;335.0171;514.0322;529.2729;734.8497;116.4946;118.3155;132.3171;137.4235;146.1482;156.8889;214.417;229.9227;263.0584;397.0986;444.9932;447.3659;449.1131;509.047;596.7344;704.3133;972.7344;1105.9651;1276.7739;1703.0851;3618.062;4233.4023;4351.6784;4530.3677;4697.9327;6325.8613;15426.7224;16864.9521;18547.5514;19399.5926;23668.667;31404.8137;41891.1369;43517.6781;50942.3587;53619.2154;57549.4428;57724.1169;85002.4377;85231.7047","2.4163;2.2795;2.5445;2.3032;2.421;2.4727;2.774;2.5426;2.1867;2.241;2.043;2.7799;2.3758;2.2839;2.1626;2.3102;2.3826;2.2839;2.6616;2.0708;2.0616;2.0251;2.822;2.524;2.2506;2.2377;2.527;2.9763;2.1978;2.4973;2.1349;2.0986;2.7901;2.4857;2.1364;2.9132;2.9152;2.2434;2.0966;2.9083;2.3437;2.194;2.292;2.8308;2.3131;2.0761;2.849;2.4613;2.6497;2.8562;2.2865;2.7793;2.5141;2.6294;2.325;2.0946;2.8867;2.543;2.9963;2.3294;2.3348;2.5189","C;C;N;C;N;C;C;D;D;C;C;N;D;D;C;D;D;D;C;D;C;C;N;N;D;C;C;N;C;D;N;N;N;N;N;N;C;N;N;D"
45,15,20,1,60,20,2,"1.005;1.1541;4.3618;4.5942;4.794;5.0059;9.0848;32.2024;32.4326;51.6188;82.6102;179.2225;232.9227;233.3652;265.2545;386.9619;581.7416;678.3659;681.8176;689.3181;105.1715;113.0364;184.585;239.9313;239.9926;267.1445;274.7939;298.6129;481.7344;488.5326;975.5417;1314.8611;1342.4747;1464.4758;1504.2559;1556.6687;1688.5461;2000.3761;2198.7179;2209.6116;2270.9881;2384.5291;3410.2154;4310.3498;5046.4596;6923.5586;8191.9907;10438.4731;11519.3203;12274.4611;13388.9582;27879.0475;30420.3509;39322.4207;42107.1509;49697.0352;51084.0336;57246.5681;59630.6996;72797.9887","2.1273;2.9533;2.5843;2.0458;2.5688;2.8576;2.3467;2.406;2.0922;2.649;2.7388;2.967;2.2372;2.7831;2.2739;2.2785;2.8551;2.1151;2.5273;2.8549;2.5138;2.6927;2.5447;2.2581;2.9008;2.719;2.5321;2.1135;2.7518;2.166;2.2111;2.6972;2.5219;2.6234;2.0949;2.608;2.5616;2.0812;2.5317;2.5886;2.847;2.1563;2.3628;2.7845;2.5952;2.3108;2.7404;2.2256;2.186;2.1727;2.9691;2.636;2.7205;2.9343;2.6311;2.2543;2.6529;2.8414;2.0847;2.8449;2.939;2.64","N;C;N;C;C;D;D;C;D;D;N;C;C;C;N;C;N;D;N;D;D;N;N;C;N;C;D;N;C;D;D;C;D;C;N;C;D;N;C;D"
46,15,20,1,60,20,2,"1.8173;2.8566;4.258;5.4946;6.7574;11.6567;19.7536;20.0981;54.8482;65.779;97.5403;107.8502;154.3881;229.193;335.6484;422.1431;455.7212;706.5845;720.3573;749.6997;113.3379;120.6461;124.6799;140.4393;161.3885;210.4888;344.8226;430.6505;497.7277;655.7879;812.2292;858.3441;1062.0916;1348.1773;1396.6772;1543.1677;1909.1936;2074.7614;3757.6603;3959.7654;5417.6336;7254.2546;8797.0813;9552.2689;11867.1465;12147.473;15656.5159;29243.238;30110.205;30338.0068;31617.7515;36269.6724;40795.861;52955.7198;54035.2525;70201.5736;80666.2437;82744.6483;96407.8248;96553.2337","2.3951;2.8464;2.078;2.3611;2.6502;2.2579;2.0682;2.2723;2.2391;2.8577;2.1873;2.0945;2.1163;2.3634;2.9334;2.3303;2.4415;2.0497;2.7124;2.7647;2.8319;2.1336;2.064;2.3571;2.443;2.938;2.8976;2.4988;2.5179;2.7697;2.6436;2.3874;2.1484;2.9227;2.486;2.4078;2.0034;2.6362;2.6645;2.8587;2.3115;2.193;2.933;2.2859;2.3964;2.0248;2.301;2.6872;2.63;2.838;2.0807;2.8798;2.0343;2.5987;2.5603;2.3316;2.9237;2.3756;2.1573;2.5853;2.0842;2.1552","N;D;N;N;D;D;N;N;N;D;D;D;C;D;N;C;N;C;D;D;N;N;D;N;D;D;D;D;N;N;D;D;N;D;C;C;D;N;D;D"
47,15,20,1,60,20,2,"2.0691;2.1352;2.5318;3.4632;5.2096;5.5656;6.6787;7.2093;12.571;21.8724;23.9471;25.4722;31.255;41.5776;65.0356;66.6501;104.4797;368.2428;385.1459;417.2881;111.0795;113.6163;161.8645;178.158;197.9719;219.6549;562.0545;641.3577;853.8446;938.4888;1007.7774;1144.6163;1264.7467;1265.4822;1546.6572;1589.3574;1642.3951;1755.2226;2050.7639;2091.3412;3151.4694;4178.0344;4240.8461;5201.1938;6519.8208;7740.1121;8821.4543;9838.0483;12742.9978;14388.9792;20575.8003;25752.4708;33746.4637;34271.3736;45162.008;48414.8677;51463.9452;67446.4832;77330.4321;85395.7579","2.6145;2.054;2.5965;2.4789;2.8835;2.6651;2.1869;2.7699;2.2354;2.5411;2.1396;2.029;2.2807;2.9947;2.9319;2.9831;2.6871;2.2989;2.4691;2.3097;2.6872;2.4157;2.5317;2.6378;2.6359;2.4766;2.1405;2.2459;2.8258;2.3439;2.8265;2.0037;2.4125;2.4248;2.9109;2.4137;2.3068;2.289;2.7286;2.1288;2.8169;2.2333;2.8502;2.7095;2.3164;2.6095;2.2235;2.5546;2.927;2.4276;2.2767;2.3079;2.6595;2.1754;2.3097;2.0741;2.0496;2.4182;2.7213;2.4241;2.8131;2.7091","D;N;D;D;D;C;C;C;C;N;N;N;N;N;D;C;N;D;D;C;N;C;C;N;C;D;C;N;N;D;D;D;D;C;C;D;D;N;C;N"
48,15,20,1,60,20,2,"1.7308;1.8034;2.5076;2.8085;3.9817;5.2459;6.1139;8.7219;13.7735;18.9251;21.424;34.7506;85.4949;120.9024;194.5524;196.001;337.5429;455.2018;476.7846;836.0275;115.4312;204.1615;217.5736;296.7196;329.7971;339.2881;373.6044;484.9026;503.6718;550.9325;587.2002;685.5041;746.6698;815.1634;856.2998;1165.0454;1379.6483;1746.5695;1809.2872;3126.7173;3715.8495;5762.5145;7600.1079;8835.1169;9075.7583;9328.8981;9803.9347;11242.5025;12234.5883;12827.3063;13495.4494;16806.5191;19419.1492;23466.4084;25142.257;26022.4556;32430.1729;33974.5971;53342.4541;62989.3361","2.5221;2.8548;2.1283;2.1607;2.2191;2.6354;2.2067;2.8535;2.8376;2.5299;2.4288;2.1031;2.9654;2.6015;2.2336;2.778;2.8516;2.6432;2.817;2.8897;2.678;2.3075;2.6615;2.8142;2.8753;2.3618;2.8311;2.3882;2.8062;2.2285;2.9678;2.5207;2.1175;2.7676;2.5369;2.6248;2.4532;2.5856;2.8793;2.5755;2.1645;2.5215;2.2188;2.392;2.8697;2.9405;2.0761;2.8577;2.6666;2.4609;2.4124;2.4363;2.8967;2.5768;2.404;2.4017;2.6287;2.9403;2.646;2.5346;2.0136;2.7679","N;D;C;D;N;N;D;D;D;D;N;C;N;C;N;N;D;C;D;D;C;N;D;C;D;C;N;N;D;D;D;N;D;D;N;N;N;N;C;N"
